Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Have you completed this demographics page before?,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""gym,"" clarify which specific activity you did at the gym.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?
,,11/11/2017 01:05:25 AM,11/11/2017 01:22:16 AM,,,,,,,"New Orleans, Louisiana ",USA,1998,"High school degree or equivalent (e.g., GED)",Male,Football,Soccer,I do not feel hindered or do not have a physical disability.,Track,Mile runner,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires somewhat more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is somewhat more complex than {{Q9}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves much more of my body than {{Q9}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,{{Q6}} has somewhat higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,{{Q6}} has much more chance of serious physical injury compare to {{Q9}}.
,,11/08/2017 08:42:10 AM,11/08/2017 08:56:25 AM,,,,,,Yes,"New Orleans, LA",USA,1997,Some college but no degree,Female,Tennis,Playing a tennis match. NCAA D1 rules,I do not feel hindered or do not have a physical disability.,Running,Cross country distance running,I do not feel hindered or do not have a physical disability.,Group,Solo,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q9}} is much more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q9}} admits much more creativity than {{Q6}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,{{Q6}} has much more clear goals than {{Q9}}.,,{{Q9}} turns off my mental chatter much more than {{Q6}}.,,{{Q6}} involves somewhat more of my body than {{Q9}}.,Both admit roughly equal control.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am much more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is much more rewarding than {{Q9}}.,,
,,11/05/2017 04:33:28 PM,11/05/2017 04:46:46 PM,,,,,,,"Boston, MA",USA,1988,Graduate degree,Female,Running,,I do not feel hindered or do not have a physical disability.,Swimming,,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires much more skill than {{Q6}}.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a much more novelty than {{Q9}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,{{Q9}} involves much more of my body than {{Q6}}.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",Both are roughly equally rewarding.,{{Q6}} has much more chance of physical injury compare to {{Q9}}.,The chance of serious physical injury is roughly equal.
,,11/02/2017 10:55:09 PM,11/02/2017 10:59:21 PM,,,,,,,,,1999,Associate degree,Male,Gym,Lifting and running,I do not feel hindered or do not have a physical disability.,Swimming,Pool swimming,I do not feel hindered or do not have a physical disability.,Solo,Group,Beginner,Beginner,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,10/26/2017 03:36:15 PM,10/26/2017 03:38:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/17/2017 01:48:24 PM,10/17/2017 04:28:02 PM,,,,,,,"Lethbridge, Alberta ",Canada ,1995,"High school degree or equivalent (e.g., GED)",Female,Basketball,The game of basektball played with 5 players on your team against another 5 players in the gym. ,I do not feel hindered or do not have a physical disability.,Volleyball,Canadian indoor volleyball,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q6}} offers a somewhat more novelty than {{Q9}}.,{{Q6}} admits somewhat more creativity than {{Q9}}.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,{{Q6}} turns off my mental chatter much more than {{Q9}}.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,Both involve my body to a roughly equal extent.,{{Q9}} permits somewhat more control than {{Q6}}.,{{Q6}} brings me into the present somewhat more than {{Q9}}.,{{Q9}} feels like less effort than {{Q6}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During {{Q9}}, I am somewhat more concerned about others' evaluations than during {{Q6}}.",Both are roughly equally rewarding.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,10/11/2017 11:32:02 AM,10/11/2017 11:39:47 AM,,,,,,,Whippany NJ,USA,1996,Associate degree,Female,Gymnastics,"Vault, floor, balance beam, and bars",I do not feel hindered or do not have a physical disability.,soccer,soccer ,I do not feel hindered or do not have a physical disability.,Solo,Group,Expert or professional,Competent amateur,{{Q6}} requires much more skill than {{Q9}}.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q6}} offers a much more novelty than {{Q9}}.,{{Q6}} admits much more creativity than {{Q9}}.,{{Q6}} is much more complex than {{Q9}}.,{{Q6}} has somewhat more clear goals than {{Q9}}.,{{Q6}} has much more immediate feedback than {{Q9}}.,Both have equally clear goals.,{{Q6}} has somewhat more immediate feedback than {{Q9}}.,{{Q6}} turns off my mental chatter somewhat more than {{Q9}}.,Both involve about the same amount of waiting.,{{Q6}} involves much more of my body than {{Q9}}.,{{Q6}} permits much more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q9}} feels effortless compare to {{Q6}} where I have to struggle and force myself.,{{Q6}} has much higher stakes than {{Q9}}.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q6}} is somewhat more rewarding than {{Q9}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q6}} has somewhat more chance of serious physical injury compare to {{Q9}}.
,,10/11/2017 11:31:07 AM,10/11/2017 11:31:51 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10/11/2017 02:52:37 AM,10/11/2017 03:03:56 AM,,,,,,,Singapore,Singapore,1994,"High school degree or equivalent (e.g., GED)",Female,Netball,"Played netball for a 1.5h duration, weekly activity.",I feel slightly hindered.,Aikido,"Did aikido for a 1.5h duration, weekly activity.",,Group,Group,Beginner,Beginner,Both require roughly equal skill.,{{Q6}} is somewhat more predictable than {{Q9}}.,{{Q9}} offers a much more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,{{Q9}} has somewhat more clear goals than {{Q6}}.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,{{Q9}} turns off my mental chatter somewhat more than {{Q6}}.,{{ Q9 }} involves a lot more waiting than {{ Q6 }}.,{{Q6}} involves much more of my body than {{Q9}}.,Both admit roughly equal control.,{{Q9}} brings me into the present much more than {{Q6}}.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During {{Q6}}, I am somewhat more concerned about others' evaluations than during {{Q9}}.",{{Q9}} is somewhat more rewarding than {{Q6}}.,{{Q6}} has somewhat more chance of physical injury compare to {{Q9}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,10/10/2017 01:31:20 PM,10/10/2017 01:46:59 PM,,,,,,,"Los Angeles, CA",USA,1991,Associate degree,Female,soccer,,I do not feel hindered or do not have a physical disability.,martial arts,Brazilian jiu jitsu,I do not feel hindered or do not have a physical disability.,Group,Group,Expert or professional,Competent amateur,Both require roughly equal skill.,{{Q9}} is somewhat more predictable than {{Q6}}.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q9}} involves a somewhat more waiting than {{ Q6}}.,Both involve my body to a roughly equal extent.,{{Q6}} permits somewhat more control than {{Q9}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,10/03/2017 09:00:55 PM,10/03/2017 09:32:19 PM,,,,,,,"Aptos, CA",USA,1998,Some college but no degree,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,09/27/2017 05:10:25 PM,09/27/2017 05:13:35 PM,,,,,,,"Bakersfield, CA",USA,1997,Some college but no degree,Male,Football ,Intramural gridiron football at my university ,I do not feel hindered or do not have a physical disability.,Softball,Slow pitch softball tournament ,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,09/20/2017 02:09:34 PM,09/20/2017 02:13:53 PM,,,,,,,"Encinitas, California",United States,1988,Bachelor degree,Female,surfing,surfing in the ocean ,I do not feel hindered or do not have a physical disability.,yoga,asana practice,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,09/19/2017 02:39:12 PM,09/19/2017 02:48:04 PM,,,,,,,"Richmond,VA",United States,1976,Graduate degree,Female,Hockey,Field hockey,I do not feel hindered or do not have a physical disability.,Soccer,Soccer,I do not feel hindered or do not have a physical disability.,Group,Group,Expert or professional,Expert or professional,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has somewhat more chance of physical injury compare to {{Q6}}.,The chance of serious physical injury is roughly equal.
,,09/13/2017 07:35:58 PM,09/13/2017 07:50:33 PM,,,,,,,"White River Junction, Vermont",USA,1980,Bachelor degree,Male,Running,Running,I feel slightly hindered.,Cycling,Cycling,I feel slightly hindered.,Solo,Solo,Competent amateur,Competent amateur,{{Q9}} requires somewhat more skill than {{Q6}}.,{{Q6}} is much more predictable than {{Q9}}.,,Both admit roughly the same amount of creativity.,{{Q9}} is somewhat more complex than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,,{{Q9}} has much more immediate feedback than {{Q6}}.,,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q6}} involves somewhat more of my body than {{Q9}}.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
,,09/06/2017 09:21:11 AM,09/06/2017 09:23:04 AM,,,,,,,,,1999,Less than high school degree,Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,08/28/2017 02:28:33 PM,08/28/2017 02:31:52 PM,,,,,,,"Bloomington, IL",USA,1997,Some college but no degree,Male,Half Aquabike,"1.2 mile swim, 56 mile bike",I do not feel hindered or do not have a physical disability.,Ultra Marathon,30 Mile run,I do not feel hindered or do not have a physical disability.,,,,,,,,,,,,,,,,,,,,,,,,
,,08/14/2017 03:58:38 PM,08/14/2017 04:12:35 PM,,,,,,,"Toronto, Ontario",Canada,1970,Associate degree,Male,Road Hockey,Road hockey is a variation on ice hockey during which an asphalt surface is used instead of ice. A hockey ball is used instead of a puck and running shoes are used instead of skates.,I do not feel hindered or do not have a physical disability.,Wrestling,Freestyle wrestling,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Competent amateur,Both require roughly equal skill.,Both offer roughly equal predictability.,{{Q9}} offers a somewhat more novelty than {{Q6}}.,Both admit roughly the same amount of creativity.,{{Q6}} is somewhat more complex than {{Q9}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both have equally clear goals.,{{Q9}} has somewhat more immediate feedback than {{Q6}}.,Both turn off my mental chatter to a roughly equal extent.,{{ Q6 }} involves a somewhat more waiting than {{ Q9}}.,{{Q9}} involves somewhat more of my body than {{Q6}}.,{{Q9}} permits somewhat more control than {{Q6}}.,Both bring me into the present to a roughly equal extent.,{{Q6}} feels like less effort than {{Q9}}.,{{Q9}} has somewhat higher stakes than {{Q6}}.,"During both {{Q9}} and {{Q6}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,{{Q9}} has much more chance of physical injury compare to {{Q6}}.,{{Q9}} has somewhat more chance of serious physical injury compare to {{Q6}}.
