Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Current location,,"In what year were you born? (enter 4-digit birth year; for example, 1976)",What is the highest level of school you have completed or the highest degree you have received?,Are you male or female?,Provide a short 1-2 word name of one physical activity.,"Describe the physical activity clearly. For example, if you wrote ""gym,"" clarify which specific activity you did at the gym. If you wrote ""martial arts,"" clarify which specific martial arts you practice. If you wrote ""hockey"" above, clarify whether you meant field hockey or ice hockey.","If you have a physical disability, to what extent does it interfere with your ability to do this activity?",Provide a short 1-2 word name of another physical activity.,"Describe the second physical activity clearly. Please be specific enough so that our analyst can group your physical activities with other people' similar physical activities. For example, if you wrote ""football,"" clarify whether you meant soccer, Gridiron football, rugby, or Australian rules football.","If you have a physical disability, to what extent does it interfere with your ability to do this second activity?","During the activity, do you engage with a group or go it solo?",,How expert are you at these physical activities?,,How much skill is required?,How predictable is the action?,To what extent do you find new and fresh experiences during the activity?,To what extent are there opportunities to express creativity during the activity?,How complex is the action and the environment in which it takes place?,How clear and straightforward are the long-term goals?,How quickly do you know whether what you wanted to accomplish in the long term was successful?,"How clear and straightforward are the short-term, moment-to-moment goals?",How quickly do you know whether what you wanted to accomplish in the short term was successful?,Does your extraneous mental chatter temporarily shut down during the activity?,How much time do you feel like is spent waiting for the next step in the activity?,How much of your body is involved in the activity? Is it full-body or only part of your body?,How much control do you feel like you can exert over your performance?,"During the activity, to what extent do you feel like you are in the present moment?",How spontaneous is your action?,"During the activity, how important does the activity feel?",To what extent do you care about how others judge your performance?,"After engaging in the physical activity, to what extent do you feel great?",What is the risk of minor physical injury (more than just muscle soreness)?,What is the risk of serious physical injury?,"Did you read all of the instructions and questions carefully? In your honest opinion, should we use your data in our analyses?"
,,03/01/2018 09:31:24 AM,03/01/2018 09:39:09 AM,,,,,,BOISE IO,WASHINGTON ,1993,Bachelor degree,Male,BASKETBALL ,JUMP SHOT BASKET BALL,I do not feel hindered or do not have a physical disability.,HOCKEY ,ICE HOCKEY ,I do not feel hindered or do not have a physical disability.,Group,Group,Competent amateur,Expert or professional,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter much more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present much more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is somewhat more rewarding than {{Q8}}.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,No
,,03/01/2018 09:29:28 AM,03/01/2018 09:38:16 AM,,,,,,WASHINGTON,USA,1993,Bachelor degree,Male,SWIMMING,NONE,I do not feel hindered or do not have a physical disability.,RUNNING,NONE,I do not feel hindered or do not have a physical disability.,Solo,Solo,Expert or professional,Expert or professional,{{Q8}} requires much more skill than {{Q5}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter much more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves somewhat more of my body than {{Q5}}.,{{Q5}} permits much more control than {{Q8}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q5}} feels like less effort than {{Q8}}.,Both have roughly equal stakes.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:28:33 AM,03/01/2018 09:30:09 AM,,,,,,RICHMOND,USA,1993,Bachelor degree,Male,RUNNING,GYM,I do not feel hindered or do not have a physical disability.,PLAYING,CRICKET,I do not feel hindered or do not have a physical disability.,Solo,Group,Beginner,Competent amateur,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has much more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,,Both admit roughly equal control.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,Both have roughly equal stakes.,"During {{Q5}}, I am much more concerned about others' evaluations than during {{Q8}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 09:27:06 AM,03/01/2018 09:36:47 AM,,,,,,"Garden City, MI",USA,1990,Some college but no degree,Male,Lifting Weights,Dumbbell workout focusing on arms and shoulders.,I do not feel hindered or do not have a physical disability.,Jumping Rope,Jumping rope with several different jump and speed variations.,I do not feel hindered or do not have a physical disability.,Solo,Solo,Beginner,Beginner,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q8}} admits much more creativity than {{Q5}}.,{{Q8}} is much more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q8}} involves much more of my body than {{Q5}}.,Both admit roughly equal control.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",Both are roughly equally rewarding.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:25:53 AM,03/01/2018 09:31:19 AM,,,,,,"Portland, OR",USA,1981,Graduate degree,Male,Soccer,,,Tennis,,,Group,Solo,Competent amateur,Beginner,{{Q5}} requires much more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:17:29 AM,03/01/2018 09:19:34 AM,,,,,,NEWYORK,USA,1991,,Female,RUNNING,MARTIAL ARTS,I am more than slightly hindered.,FOODBALL,SOCCER,I am more than slightly hindered.,Solo,Group,Beginner,Expert or professional,{{Q8}} requires somewhat more skill than {{Q5}}.,{{Q8}} is somewhat more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q8}} brings me into the present somewhat more than {{Q5}}.,{{Q8}} feels effortless compare to {{Q5}} where I have to struggle and force myself.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q8}} is somewhat more rewarding than {{Q5}}.,{{Q5}} has somewhat more chance of physical injury compare to {{Q8}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,
,,03/01/2018 09:15:56 AM,03/01/2018 09:19:25 AM,,,,,,RICHMOND,USA,1993,Some college but no degree,Female,RUNNING,GYM,I feel slightly hindered.,PLAYING,CRICKET,I feel slightly hindered.,Solo,Group,Beginner,Competent amateur,Both require roughly equal skill.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q8}} offers a somewhat more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,Both offer roughly equally immediate feedback.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,Both involve about the same amount of waiting.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q5}} permits somewhat more control than {{Q8}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",{{Q8}} is much more rewarding than {{Q5}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q8}} has somewhat more chance of serious physical injury compare to {{Q5}}.,Yes
,,03/01/2018 09:13:35 AM,03/01/2018 09:17:12 AM,,,,,,CALIFORNIA,USA,1985,Some college but no degree,Male,WALK AND SLEEP,WALK AND SLEEP DUE TO HEALTH GOODNESS,I am more than slightly hindered.,READ WRITE,IMPROVE MY KNOWLEDGE,I feel slightly hindered.,Group,Solo,Competent amateur,Expert or professional,Both require roughly equal skill.,Both offer roughly equal predictability.,Both offer roughly equal novelty.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,Both have equally clear goals.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q5}} has much more immediate feedback than {{Q8}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has somewhat higher stakes than {{Q8}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:07:13 AM,03/01/2018 09:24:29 AM,,,,,,Springfield mo,Usa ,1986,"High school degree or equivalent (e.g., GED)",Female,Dodge ball,You have 2 sets of teams on each aide of the room and each player gets a ball and u throw them back snd forth tryong to hit thr oppisite player...if they catch the ball there still in and if they get hit they are out,I feel slightly hindered.,Duck duck goose,Everyone sits on a circle and one person walks around the cirle touching heads saying duck duck duck and who every head they toich and say goose that person has to jump up and thry to catch them,I feel slightly hindered.,,,,,,,,,,,,,,,,,,,,,,,,,
,,03/01/2018 09:10:24 AM,03/01/2018 09:15:09 AM,,,,,,RICHMOND,USA,1988,Bachelor degree,Male,RUNNING,GYM,I do not feel hindered or do not have a physical disability.,PLAYING,FOOTBALL,I do not feel hindered or do not have a physical disability.,Solo,Group,Competent amateur,Expert or professional,Both require roughly equal skill.,{{Q5}} is much more predictable than {{Q8}}.,{{Q8}} offers a much more novelty than {{Q5}}.,{{Q5}} admits somewhat more creativity than {{Q8}}.,{{Q8}} is somewhat more complex than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q5}} turns off my mental chatter somewhat more than {{Q8}}.,{{ Q8}} involves a somewhat more waiting than {{ Q5}}.,{{Q5}} involves somewhat more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q8}} feels like less effort than {{Q5}}.,{{Q5}} has much higher stakes than {{Q8}}.,"During {{Q8}}, I am somewhat more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q8}} has much more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:09:37 AM,03/01/2018 09:12:46 AM,,,,,,"Hickory, NC",USA,1980,"High school degree or equivalent (e.g., GED)",Female,walking,taking a walk ,I do not feel hindered or do not have a physical disability.,running,walking very fast,I do not feel hindered or do not have a physical disability.,Solo,Solo,Competent amateur,Competent amateur,{{Q8}} requires much more skill than {{Q5}}.,{{Q5}} is much more predictable than {{Q8}}.,Both offer roughly equal novelty.,Both admit roughly the same amount of creativity.,Both are of roughly equal complexity.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both have equally clear goals.,Both offer roughly equally immediate feedback.,Both turn off my mental chatter to a roughly equal extent.,Both involve about the same amount of waiting.,Both involve my body to a roughly equal extent.,Both admit roughly equal control.,Both bring me into the present to a roughly equal extent.,Both require about the same extent of effort (both either effortless or effortful).,Both have roughly equal stakes.,"During both {{Q8}} and {{Q5}}, I have roughly equal concern about others' evaluations.",Both are roughly equally rewarding.,The chance of physical injury is roughly equal.,The chance of serious physical injury is roughly equal.,Yes
,,03/01/2018 09:08:30 AM,03/01/2018 09:17:09 AM,,,,,,NEWYORK,USA,1991,Graduate degree,Female,RUNNING,GYM,I am more than slightly hindered.,FOODBALL,SOCCER,I feel slightly hindered.,Solo,Group,Expert or professional,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q5}} is somewhat more predictable than {{Q8}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is somewhat more complex than {{Q8}}.,{{Q5}} has much more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} has somewhat more clear goals than {{Q5}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q8 }} involves a lot more waiting than {{ Q5 }}.,{{Q8}} involves much more of my body than {{Q5}}.,{{Q8}} permits somewhat more control than {{Q5}}.,{{Q5}} brings me into the present somewhat more than {{Q8}}.,{{Q5}} feels like less effort than {{Q8}}.,{{Q8}} has somewhat higher stakes than {{Q5}}.,"During {{Q5}}, I am somewhat more concerned about others' evaluations than during {{Q8}}.",Both are roughly equally rewarding.,{{Q8}} has somewhat more chance of physical injury compare to {{Q5}}.,{{Q5}} has somewhat more chance of serious physical injury compare to {{Q8}}.,Yes
,,03/01/2018 09:07:07 AM,03/01/2018 09:22:48 AM,,,,,,"Portland, OR",USA,1981,Graduate degree,Male,Soccer,,,Tennis,,,Group,Solo,Competent amateur,Beginner,{{Q5}} requires somewhat more skill than {{Q8}}.,{{Q8}} is much more predictable than {{Q5}}.,{{Q5}} offers a somewhat more novelty than {{Q8}}.,{{Q5}} admits much more creativity than {{Q8}}.,{{Q5}} is much more complex than {{Q8}}.,Both have equally clear goals.,{{Q5}} has somewhat more immediate feedback than {{Q8}}.,{{Q5}} has somewhat more clear goals than {{Q8}}.,{{Q8}} has somewhat more immediate feedback than {{Q5}}.,{{Q8}} turns off my mental chatter somewhat more than {{Q5}}.,{{ Q5 }} involves a lot more waiting than {{ Q8}}.,{{Q5}} involves much more of my body than {{Q8}}.,{{Q8}} permits much more control than {{Q5}}.,{{Q8}} brings me into the present much more than {{Q5}}.,{{Q5}} feels effortless compare to {{Q8}} where I have to struggle and force myself.,{{Q8}} has much higher stakes than {{Q5}}.,"During {{Q8}}, I am much more concerned about others' evaluations than during {{Q5}}.",{{Q5}} is much more rewarding than {{Q8}}.,{{Q5}} has much more chance of physical injury compare to {{Q8}}.,{{Q5}} has much more chance of serious physical injury compare to {{Q8}}.,
